id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
7f0xADRbd1YMJgucimOleb,0.747,0.579,0.0,-9.276,1.0,0.0599,0.826,0.0455,0.0904,0.716,87.936,4.0
1uhQ3H3TSDX9Bq9Oz6uHWV,0.583,0.386,9.0,-11.531,0.0,0.133,0.896,1.01e-05,0.074,0.634,101.045,3.0
0f7WgnCZ3QgXHZlyd9OkMR,0.449,0.41,11.0,-10.971,0.0,0.0425,0.689,0.0,0.289,0.352,128.428,4.0
6T00WxH8sJ66Sg9XFqy8lU,0.651,0.491,9.0,-8.933,0.0,0.0472,0.394,0.0,0.105,0.673,153.752,3.0
5lpOIzbl08NopnkBYMC2cq,0.8,0.697,1.0,-7.799,0.0,0.0373,0.583,0.48,0.105,0.774,103.507,4.0
3j11rTSX5eLzg6It7EA0t6,0.558,0.526,0.0,-7.26,1.0,0.0424,0.118,0.0,0.116,0.226,120.623,3.0
0jECB7izPQ8NHFdjJwOafd,0.781,0.692,7.0,-7.619,1.0,0.0679,0.547,1.94e-05,0.116,0.615,100.035,4.0
0rarZNufxPxIo1y46PWvxP,0.508,0.287,5.0,-8.898,0.0,0.0481,0.834,0.0,0.0963,0.324,96.139,3.0
4TdiIzPC8qW1e1rpxF9QDs,0.589,0.557,5.0,-9.289,0.0,0.042,0.818,0.395,0.148,0.451,125.782,3.0
4bFaDjWTSbudJdO9J0fp71,0.527,0.499,11.0,-8.76,0.0,0.051,0.273,0.000104,0.155,0.425,99.562,4.0
1yWhkT6W31MsXYOyKjylZ1,0.614,0.584,0.0,-11.114,1.0,0.0389,0.669,0.488,0.228,0.679,80.027,4.0
2AjUz3OfSmnZa0CQKYKvLz,0.682,0.433,9.0,-15.953,0.0,0.0399,0.578,0.862,0.0934,0.477,114.204,4.0
3Fx46mpHaMyL21S2M60UrQ,0.74,0.302,11.0,-10.826,0.0,0.0422,0.7,0.0,0.0866,0.538,97.002,4.0
0PqNQ1hcliQhOAz0fSwzJy,0.52,0.514,8.0,-11.356,1.0,0.237,0.0898,0.0,0.101,0.646,81.485,4.0
3CHxIC1JZewDlGqR039lrt,0.702,0.715,4.0,-4.678,0.0,0.0346,0.795,0.844,0.0984,0.796,114.114,3.0
3pJggCst1pgThkUo30bkWE,0.511,0.381,1.0,-8.953,1.0,0.0335,0.832,2.51e-05,0.128,0.611,105.561,3.0
3GNM9cD6GxoU6xPAyNBBqd,0.433,0.347,9.0,-8.737,1.0,0.0343,0.818,0.0,0.238,0.541,89.215,3.0
4ZIraPQYZiuRyIUxGv7tNl,0.553,0.996,5.0,-6.592,0.0,0.427,0.67,0.00241,0.846,0.281,137.664,3.0
7jbp80cdrgTumxCWwicxXq,0.695,0.678,5.0,-14.319,0.0,0.0505,0.537,0.821,0.228,0.937,133.773,3.0
0lZD9QE0t0iOYlKDMoBKop,0.528,0.995,1.0,-8.277,1.0,0.107,0.458,0.245,0.0799,0.128,115.629,3.0
4JovfGmfVNKYrDFDFxjiPm,0.797,0.641,8.0,-10.739,1.0,0.0736,0.751,0.0195,0.0985,0.723,114.533,3.0
1ro4AY6oyquzrTR8ZylO72,0.656,0.681,7.0,-5.117,0.0,0.0404,0.167,0.0,0.2,0.522,118.011,4.0
1uw6eHdMtRlX6MtiZVJYB9,0.419,0.916,4.0,-3.188,0.0,0.0963,0.559,2.39e-06,0.0717,0.528,169.917,4.0
5rJhgzFjgpitbf0Bw1N0SR,0.604,0.635,2.0,-4.499,0.0,0.419,0.508,0.0,0.107,0.484,134.672,4.0
7LUXlPdTO8qBdzjOsKD7pT,0.733,0.537,9.0,-7.207,0.0,0.0944,0.237,0.0,0.114,0.128,113.33,5.0
3yaO2ownmk75ykFH6wOPMc,0.737,0.599,9.0,-6.821,1.0,0.0817,0.207,0.000398,0.107,0.632,135.975,4.0
0FtVKLdeI3AU8VOAE0ojW0,0.746,0.593,5.0,-7.576,1.0,0.0561,0.502,1.46e-06,0.112,0.244,119.955,4.0
3nLqugYW67URcTPkpqBUoX,0.807,0.833,11.0,-4.044,0.0,0.148,0.0474,0.0,0.0747,0.649,101.934,4.0
49iOVtExuJU9faigS2JRUf,0.691,0.937,2.0,-1.343,1.0,0.118,0.114,5.95e-05,0.82,0.9,100.122,4.0
582RPFqtDISVhZbbWaVW06,0.684,0.687,5.0,-6.328,0.0,0.0435,0.331,5.47e-06,0.318,0.313,107.007,4.0
2mxfN1hfur8HSypTZ3bxkv,0.635,0.817,1.0,-3.349,1.0,0.129,0.115,0.0,0.129,0.487,198.003,4.0
1gxTGbG4R2tOeW55p3dx8W,0.658,0.811,6.0,-6.03,0.0,0.0398,0.207,3.28e-06,0.114,0.403,95.065,4.0
6aq2fHcze6lD2fHvb19u5P,0.808,0.606,0.0,-5.919,0.0,0.196,0.194,0.0,0.108,0.863,107.016,4.0
3sf34zxtSzzCajD0tvdbX2,0.772,0.785,9.0,-5.059,1.0,0.149,0.0589,8.04e-05,0.244,0.533,126.07,4.0
5eEQoS7tbYgj1Y3hapmhMA,0.809,0.705,1.0,-4.695,0.0,0.136,0.19,5.88e-06,0.0766,0.432,94.976,4.0
2KFtf5aybGRVOxvdY0XntX,0.704,0.734,4.0,-4.83,0.0,0.17,0.179,0.0,0.0756,0.472,96.914,4.0
0H0jMZIQY74YRIkjgssfsr,0.579,0.72,10.0,-4.965,0.0,0.0822,0.241,0.00765,0.101,0.588,104.939,4.0
0tlFdlobBjMK0OTkg45Mt6,0.654,0.919,8.0,-1.472,0.0,0.371,0.0243,0.0,0.0755,0.683,180.102,4.0
7yx1eAtnhzTmug79lKq2O4,0.647,0.901,10.0,-2.368,0.0,0.0896,0.063,0.0,0.0693,0.762,195.95,4.0
6Dc0SMnnTxvwj4FJ5pZLVi,0.814,0.736,7.0,-4.535,0.0,0.072,0.447,9.1e-05,0.106,0.388,94.997,4.0
4QnOI0OzDRV57d3yhCEhRv,0.825,0.656,10.0,-4.919,0.0,0.202,0.138,2.63e-06,0.121,0.818,98.026,4.0
54oxNgoNv7IoDYe1cRTpv3,0.768,0.871,0.0,-6.185,1.0,0.186,0.0886,0.0,0.0941,0.686,105.045,4.0
7MOvlKtYHTQghia3aY3vPY,0.738,0.93,6.0,-3.292,0.0,0.0791,0.147,0.0,0.314,0.734,102.001,4.0
3UH5KAteTkuscgqB90BW4U,0.709,0.687,5.0,-6.852,0.0,0.255,0.0873,0.0,0.097,0.772,100.093,4.0
1kLfjR7DKezovtAhOTqdbF,0.498,0.72,3.0,-5.472,0.0,0.13,0.065,0.0,0.225,0.267,92.365,3.0
1xYGgaNXbQC9QzKfRU0cEM,0.782,0.738,9.0,-6.473,1.0,0.0499,0.492,1.34e-05,0.0697,0.789,105.037,4.0
4eqU5qniNinFhET7z9gAKP,0.732,0.58,2.0,-8.966,0.0,0.124,0.577,0.0,0.256,0.818,100.018,4.0
1O7YEJ3jEniTWlcyhBPLGh,0.802,0.736,0.0,-5.079,1.0,0.0705,0.282,0.0,0.0996,0.53,104.995,4.0
3BPQnOSqQ09g6Ulx0E1WJu,0.764,0.741,10.0,-5.603,0.0,0.228,0.0568,0.0,0.0502,0.846,196.1,4.0
7lkqgMymGtrkL8JtEZga91,0.698,0.519,7.0,-3.47,0.0,0.0761,0.359,0.000205,0.134,0.645,185.978,4.0
5N3J1uFXXPk0V3jFG8b9lq,0.678,0.889,0.0,-6.123,1.0,0.0739,0.338,0.0,0.561,0.582,95.962,4.0
2EjXBBFlIXczuDDv4qakCB,0.894,0.671,5.0,-5.355,0.0,0.0801,0.09,0.00131,0.147,0.831,102.012,4.0
77mfkQjTqW6PY0YBKfK36N,0.768,0.784,10.0,-6.371,0.0,0.201,0.204,0.0,0.112,0.82,166.034,4.0
1vVKq6j3sdjLjqRAlCz6Fu,0.799,0.726,0.0,-5.306,1.0,0.0358,0.0286,3.27e-05,0.362,0.845,135.084,4.0
0muywnX9vdBYGawwBzoNLB,0.702,0.869,7.0,-3.392,0.0,0.0614,0.206,0.0,0.0825,0.872,100.035,4.0
2AnWSVHt9d3v2UagHzPVzI,0.75,0.785,2.0,-4.594,0.0,0.0462,0.156,0.0,0.0542,0.517,130.002,4.0
6mTh7xiM4Vs2QegM7N8inN,0.585,0.734,5.0,-5.006,0.0,0.0711,0.497,0.0,0.147,0.774,200.053,4.0
6E0lZrHpHkAFe1k9q5yi5E,0.819,0.754,5.0,-4.851,0.0,0.0485,0.303,2.68e-06,0.0552,0.773,93.975,4.0
32TSbJD5y5475MJn0Viajp,0.814,0.801,4.0,-5.868,0.0,0.241,0.349,0.0,0.0716,0.797,167.997,4.0
